r_Angstrom,g11_Direct,g11_Window,g12_Direct,g12_Window,g22_Direct,g22_Window
21.6,0.9170385075970339,0.9828957479677698,0.9170788224345148,0.980132165217689,0.9188515246513658,0.9912803854043712
21.700000000000003,0.9178947824291778,0.9892685549480194,0.9174618622668821,0.9838803346535812,0.9209657991057894,0.971067112850813
21.8,0.9198832710411712,0.9876763463666216,0.9187245578616233,0.9818271408992312,0.9198130009209864,0.9859949195487296
21.900000000000002,0.9199250645011294,0.9754904569638622,0.9200109639577669,0.9917883274793159,0.9215321187336889,0.9846047828289958
22.0,0.9221796091731299,0.9782420836568152,0.921016595896929,0.9814838037777912,0.923735050448706,0.9856729303394407
22.1,0.9237799664996457,0.9835736709614762,0.9218428378270885,0.9861447331908828,0.9252134353132548,0.9850559625305915
22.200000000000003,0.9240774108809625,0.9773134618706478,0.9239758159872242,0.9782111737845977,0.9258892692156373,0.9971760493827359
22.3,0.9246528780872619,0.9916607447150316,0.92645395021942,0.9900110054599587,0.9265666058199417,0.977389613540938
22.400000000000002,0.9271732702785256,0.976535033035957,0.9259712700559073,0.9801070732596348,0.9276318808355288,0.9916721213967885
22.5,0.9250520904152909,0.9770473918827506,0.9285419572683786,0.9914291343987618,0.9268421701900911,0.984099104382915
22.6,0.9281690635722771,0.9882909848922931,0.9272508611737587,0.9834195148006771,0.9308128296099518,0.993506197771411
22.700000000000003,0.9297813194139635,0.9858757270010898,0.9292218885033316,0.9917013431019113,0.9315902468952321,0.9781075654661335
22.8,0.9308646482732702,0.9906236080966428,0.9302257799194467,0.9890246021657523,0.9313742471081736,0.9798794112179785
22.900000000000002,0.9297235099186809,0.9926394715608761,0.932114180563967,0.9913829019879254,0.9319973856314463,0.9867288416499965
23.0,0.931347467904159,0.9970122285628585,0.9320140990696633,0.9859629177393996,0.9344485568607066,0.9913129025050238
23.1,0.9341387279180015,0.9974214039379405,0.9327990756072394,0.9947444439389033,0.934564019803627,0.9974617874555187
23.200000000000003,0.9342196069013503,0.9915229646014768,0.9343994435541045,0.9913287152884432,0.9360802469651593,0.9893977164276628
23.3,0.9355804875959642,0.999468183092786,0.9347190720168334,0.9900951353436512,0.9365667122473874,0.9886288045192193
23.400000000000002,0.9344084124097901,1.0003715199006324,0.9344065100439092,0.9919121542861208,0.9380784475744828,0.9905919625577457
